,time,metric_name,metric_value,date,year
320360,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-18,2018
320361,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-18,2018
320362,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-18,2018
320363,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-18,2018
320364,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-18,2018
320365,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-18,2018
320366,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-18,2018
320367,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-18,2018
320368,2018-01-18 00:00:00-05:00,google.meet:total_meeting_minutes,0,2018-01-18,2018
320845,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-19,2018
320846,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-19,2018
320847,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-19,2018
320848,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-19,2018
320849,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-19,2018
320850,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-19,2018
320851,2018-01-19 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-19,2018
320852,2018-01-19 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-19,2018
320853,2018-01-19 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-19,2018
320854,2018-01-19 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-19,2018
320855,2018-01-19 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-19,2018
320856,2018-01-19 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-19,2018
320857,2018-01-19 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-19,2018
320858,2018-01-19 00:00:00-05:00,google.meet:num_calls,0,2018-01-19,2018
320859,2018-01-19 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-19,2018
320860,2018-01-19 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-19,2018
320861,2018-01-19 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-19,2018
320862,2018-01-19 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-19,2018
320863,2018-01-19 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-19,2018
